,node_Author_col_0,Author_feat_col,graph_year
0,562cae5e45cedb3398c932cc,"{'type': 0, 'size': 68.0, 'indices': array([ 2, 10, 11, 22, 23, 24, 25, 26, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
1,562e27d945cedb33990c7a41,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
2,53f4760bdabfaee4dc88c9f2,"{'type': 1, 'size': None, 'indices': None, 'values': array([ 1.,  1.,  1.,  0.,  1.,  1.,  1.,  1.,  1.,  1., 13.,  1.,  1.,
        1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.,  0.,  0.,  0.,  0.,  0.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,
        1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1.,  1., 13.,  1.,  1.,
        1.,  1.,  1.])}",2017
3,5631436445cedb3399d424d7,"{'type': 0, 'size': 68.0, 'indices': array([ 2, 10, 11, 22, 23, 24, 25, 26, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
4,53f395abdabfae4b34a707e8,"{'type': 0, 'size': 68.0, 'indices': array([ 6,  7, 10, 11, 42, 43, 44, 45, 46, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 2., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
5,53f47651dabfaeecd6a4a2e9,"{'type': 0, 'size': 68.0, 'indices': array([ 0,  3,  4,  5,  8,  9, 10, 11, 12, 13, 14, 15, 16, 27, 28, 29, 30,
       31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 52, 53, 54, 55, 56, 57,
       58, 59, 60, 61, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 8., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.,
       1., 1., 1., 1., 8., 1., 1., 1., 1., 1.])}",2017
6,53f476cfdabfaefedbbafdf2,"{'type': 0, 'size': 68.0, 'indices': array([ 7, 10, 11, 47, 48, 49, 50, 51, 62, 63, 64, 65, 66, 67],
      dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1., 1.])}",2017
7,562eb5e545cedb339935c072,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
8,5405ff82dabfae91d3025f1d,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([3., 1., 2., 1., 1., 1., 1., 1.])}",2017
9,562f9b0b45cedb339972d141,"{'type': 0, 'size': 68.0, 'indices': array([10, 11, 62, 63, 64, 65, 66, 67], dtype=int32), 'values': array([1., 1., 1., 1., 1., 1., 1., 1.])}",2017
